2;-5 -4 -3 -1
1;-5 -4 -3 -1 0
42;13 21 23 -81 64 33 -9 -81 85 -37 66 18 70 46 16 0 1 -21 46 73 51 14 71 54 -2 18 27 -53 59 42 -33 3 35 55 83 50 -99 -10 71 -51 -35 -59 99 64 74 25 -53 -9 -4 -24 -90 -62 -10 36 91 -55 -24 5 -42 2 64 58 -98 -73 -76 12 -95 87 -55 -93 90 53 -92 10 28 -22 -73 4 -89 -26 -5 -26 79 80 89 28 -18
46;-3 70 -12 73 41 -26 -11 43 69 59 -64 84 -81 -18 -14 77 60 14 20 65 -18 8 -39 -60 -33 66 34 15 39 75 -42 60 -33 -36 57 82 -9 -24 -50 51 -16 -77 31 -24 -58 75 93 68 -41 84 91 -1 37 36 99 -28 -75 20 -83 -48 37 72 56 68 -80 94 -94 83
30;-82 -69 -58 -56 15 -67 -25 -87 79 0 -79 98 -12 -81 31 29 70 47 -62 -22 88 -90 88 -62 48 83 -77 -59 79 43 45 55 24 92 88 -99 91 75 96 73 11 -69 89 17 -17 14 69 -1 77 27 0 -34 -60 -24 -32 -95 -77 83 -74 -37 64 -58 35 -59
48;-81 -18 -88 -35 -10 -41 -48 -6 -97 -5 -12 78 -9 -3 -54 -4 19 -9 -80 -66 99 57 -65 59 -37 -94 -96 -44 48 39 71 -80 87 -98 -1 39 34 27 -2 -91 -28 37 36 -16 61 -6 18 -36 93 -28 -6 -73 -12 39 -61 -55 90 27 24 -88 9 -40 38 20 -15 39 -63 -5 -53 -8 -40 -59 -66 -38 8 -59 40 34 14 54 41 -32 68 -71 -94 28 27 -64 16
29;-93 12 46 1 80 83 72 84 -69 -29 -72 58 -25 69 51 -91 59 -13 -30 71 57 46 -22 -6 55 48 45 74 40 -95 -81 -85 96 76 32 -6 21 -3 78 -25 -88 -20 -11 38 -19 87 -77 50 48 -90 73 96 -51 49 48 1 -86 -75 52 -96 -59 -67 -89 -6 -80 24 26 93 69 -85 42 -47 -87 48 -24 48 -93 14 15 -91 8 59 -21 -83 10 37 34
17;4 85 -22 89 92 61 -22 72 52 -11 -17 7 85 33 93 33 -78 -3 44 9 2 56 -18 11 76 -11 55 99 -82 -40 95 -50 -98 57 -69 40 42 66 -99 -14 71 -76 78 88 -67 82 0 62 -81 -21 -13 58 -71 -30
34;-59 49 29 -66 65 65 55 14 -51 96 43 -50 16 31 -92 53 53 74 -84 -48 30 10 46 79 97 83 -18 38 11 40 -74 -40 -22 44 -11 -75 -74 -22 -63 -28 0 -45 -48 -21 23 -43 -26 49 -49 -97 -82 93 -18 -74 63 -16 87 90 67 -80 -5 26 65 -59 4 81 86 -95 23 47 -20
17;86 -75 -37 -76 68 54 69 -50 59 97 25 62 -86 -52 97 15 90 62 75 41 38
31;91 -63 -49 94 -10 82 94 94 -44 -25 -86 -38 -14 -16 51 -74 73 23 22 -90 -59 -98 27 -89 -45 -68 45 -68 33 11 77 -35 58 11 -1 9 -9 92 41 35 15 89 10 -93 -60 -12 -35 98 69 59 30 87 -36 98 67 -93 77 -63 14 63 -81 -21 68 -39 75 26 -59 -90 -51 23 96 13 -9 58 58 50 -78 40 2 84 94 -53 71 -52 -54 39 -82 77 75 -7 47 65 -23 -46 31 -17
41;18 -94 -46 -96 78 -71 75 53 38 79 -4 -63 70 54 -22 -26 29 41 -50 89 33 -21 8 74 13 74 -18 38 61 20 -56 99 82 -83 55 98 -85 -18 -95 -31 -81 -20 -80 -28 -36 -51 -63 23 9 77 -74 3 91 3 59 43 -21 -23 17 -61 -77 89 63 29 -65
45;66 48 -20 -41 66 -1 -34 -50 -50 89 47 -79 1 -87 25 -96 5 20 -17 -76 56 -56 69 -7 81 -9 -6 -95 1 -54 32 -66 37 47 15 63 -65 77 31 5 -35 7 -27 44 -36 7 -43 -37 -7 -10 54 8 -83 -62 -52 14 46 32 31 -9 98
24;91 56 54 53 -98 -63 95 -76 -19 20 -42 3 73 78 -65 47 5 -34 -76 64 69 -7 9 74 29 93 47
20;37 68 -91 45 73 -9 -5 47 -73 -50 87 86 3 99 8 -78 -82 -89 22 -34 90 -84 -64 -66 -66 27 49 36 -51 3 52 -87 33 82 52 74 55
44;-93 4 -32 -46 61 -2 6 -40 8 -52 -88 -22 -42 -35 -24 74 1 -93 -16 67 -16 24 -84 13 90 32 11 -88 80 76 -57 40 52 28 23 24 -28 -28 -34 -30 -79 15 -43 -22 93 47 -28 -15 -63 4 -93 95 -5 -55 28 -7 -64 64 45 -32 -31 79 85 -92 43 -28 -88 66 -60 -16 24 -36 22 79 -46 21 26 31 77 8 84 71 87 -96 88 67 -50 -13 76 -47 -45 -95 -74
41;40 61 -88 4 -2 -86 36 62 -19 -36 44 78 67 -36 36 91 69 -97 75 98 54 9 99 -91 12 -88 -95 38 54 -76 84 4 1 88 59 73 -54 1 -12 31 -55 -97 -51 -77 -89 55 -77 63 92 -24 52 54 12 36 -60 -22 -88 -51 -73 -26 87 60 -52 72 84 36 -57 13 -81 -37 93 -92 28 49 -28 -6 -19
